[2025-06-02 06:13:29] User: 7073749415 | Action: GRANT_TEST_ALL | Details: Success: 3, Failed: 0
[2025-06-02 06:14:11] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6904634367 - 5 messages
[2025-06-02 06:14:26] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6817969248 - 5 messages
[2025-06-02 06:14:41] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 7271230624 - 5 messages
[2025-06-02 06:16:19] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 06:19:58] User: 7073749415 | Action: REVOKE_PERMISSION | Details: 6480351477 (Không có tên)
[2025-06-02 06:22:35] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 06:43:11] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 06:47:09] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 06:50:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:50:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:51:27] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 06:53:00] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 06:54:58] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:54:58] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:55:01] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 06:58:21] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:58:21] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 06:58:35] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 07:09:49] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 07:12:27] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 07:12:27] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 07:12:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 07:12:48] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 07:24:56] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 07:37:02] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 08:32:31] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 08:39:55] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 09:01:52] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 09:16:17] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 09:19:28] User: 7271230624 | Action: CHECK_STATS | Details: 
[2025-06-02 09:20:13] User: 6507934269 | Action: START_BOT | Details: 
[2025-06-02 09:22:10] User: 6507934269 | Action: CHECK_STATS | Details: 
[2025-06-02 09:22:26] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6507934269 - 5 messages
[2025-06-02 09:22:40] User: 6507934269 | Action: CHECK_STATS | Details: 
[2025-06-02 09:23:51] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 5 messages
[2025-06-02 09:24:11] User: 6548527691 | Action: CHATAI_START | Details: 
